congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
115,President,99912,99,0,USA,200,0,0,"TRUMP, Donald John",,1946,,,,,,,,,,
115,House,20301,41,3,AL,200,,,"ROGERS, Mike Dennis",R000575,1958,,0.338,0.446,-100.47503,0.89514,907,61,,0.396,0.438
115,House,21102,41,7,AL,100,,,"SEWELL, Terri",S001185,1965,,-0.39,0.404,-88.42321,0.90293,866,33,,-0.399,0.36
115,House,21192,41,2,AL,200,,,"ROBY, Martha",R000591,1976,,0.367,0.659,-62.38415,0.93325,903,22,,0.407,0.546
115,House,21193,41,5,AL,200,,,"BROOKS, Mo",B001274,1954,,0.601,-0.429,-147.28461,0.84393,868,69,,0.659,-0.544
115,House,21376,41,1,AL,200,,,"BYRNE, Bradley",B001289,1955,,0.544,0.304,-59.12128,0.93769,919,18,,0.58,0.377
115,House,21500,41,6,AL,200,,,"PALMER, Gary James",P000609,1954,,0.778,-0.092,-62.04919,0.93388,907,32,,0.744,0.071
115,House,29701,41,4,AL,200,,,"ADERHOLT, Robert",A000055,1965,,0.361,0.587,-67.0913,0.92715,887,21,,0.392,0.547
115,House,14066,81,1,AK,200,,,"YOUNG, Donald Edwin",Y000033,1933,,0.279,0.013,-191.0968,0.80735,893,87,,0.271,0.324
115,House,20304,61,8,AZ,200,,,"FRANKS, Trent",F000448,1957,,0.749,0.087,-45.67247,0.91933,543,23,,0.621,-0.006
115,House,20305,61,3,AZ,100,,,"GRIJALVA, Raúl M.",G000551,1948,,-0.599,-0.243,-40.32658,0.95516,879,10,,-0.633,-0.198
115,House,21103,61,4,AZ,200,,,"GOSAR, Paul",G000565,1958,,0.62,-0.345,-151.03059,0.84114,873,76,,0.986,-0.166
