state_name,state_code,party,first_name,last_name,gender,race,religion,openly_lgbtq,chamber,age
Alaska,AK,R,Daniel,Sullivan,Male,White,Christianity,Straight,Senate,54
Alaska,AK,R,Lisa,Murkowski,Female,White,Christianity,Straight,Senate,61
Alabama,AL,D,Gordon,Jones,Male,White,Christianity,Straight,Senate,64
Alabama,AL,R,Richard ,Shelby,Male,White,Christianity,Straight,Senate,84
Arkansas,AR,R,John,Boozman,Male,White,Christianity,Straight,Senate,68
Arkansas,AR,R,Tom,Cotton,Male,White,Christianity,Straight,Senate,41
Arizona,AZ,R,Jeff,Flake,Male,White,Christianity,Straight,Senate,56
Arizona,AZ,R,John,McCain,Male,White,Christianity,Straight,Senate,82
California,CA,D,Dianne,Feinstein,Female,White,Judaism,Straight,Senate,85
California,CA,D,Kamala,Harris,Female,Asian,Christianity,Straight,Senate,54
Colorado,CO,R,Cory,Gardner,Male,White,Christianity,Straight,Senate,44
Colorado,CO,D,Michael ,Bennet,Male,White,Unspecified,Straight,Senate,54
Connecticut,CT,D,Christopher,Murphy,Male,White,Christianity,Straight,Senate,45
Connecticut,CT,D,Richard,Blumenthal,Male,White,Judaism,Straight,Senate,72
Delaware,DE,D,Christopher,Coons,Male,White,Christianity,Straight,Senate,55
Delaware,DE,D,Thomas,Carper,Male,White,Christianity,Straight,Senate,71
Florida,FL,D,Bill,Nelson,Male,White,Christianity,Straight,Senate,76
Florida,FL,R,Marco,Rubio,Male,Hispanic,Christianity,Straight,Senate,47
Georgia,GA,R,David,Perdue,Male,White,Christianity,Straight,Senate,69
Georgia,GA,R,Johnny,Isakson,Male,White,Christianity,Straight,Senate,74
Hawaii,HI,D,Brian,Shcatz,Male,White,Judaism,Straight,Senate,46
Hawaii,HI,D,Mazie,Hirono,Female,Asian,Buddhism,Straight,Senate,71
Iowa,IA,R,Charles,Grassley,Male,White,Christianity,Straight,Senate,85
Iowa,IA,R,Joni,Ernst,Female,White,Christianity,Straight,Senate,48
Idaho,ID,R,James,Risch,Male,White,Christianity,Straight,Senate,75
Idaho,ID,R,Mike,Crapo,Male,White,Christianity,Straight,Senate,67
Illinois,IL,D,Richard,Durbin,Male,White,Christianity,Straight,Senate,74
Illinois,IL,D,Tammy,Duckworth,Female,Asian,Deism,Straight,Senate,50
Indiana,IN,D,Joe,Donnelly,Male,White,Christianity,Straight,Senate,63
Indiana,IN,R,Todd,Young,Male,White,Christianity,Straight,Senate,46
Kansas,KS,R,Jerry,Moran,Male,White,Christianity,Straight,Senate,64
Kansas,KS,R,Pat,Roberts,Male,White,Christianity,Straight,Senate,82
Kentucky,KY,R,Mitch,McConnell,Male,White,Christianity,Straight,Senate,76
Kentucky,KY,R,Rand,Paul,Male,White,Christianity,Straight,Senate,55
Louisiana,LA,R,Bill,Cassidy,Male,White,Christianity,Straight,Senate,61
Louisiana,LA,R,John,Kennedy,Male,White,Christianity,Straight,Senate,67
Massachusetts,MA,D,Edward,Markey,Male,White,Christianity,Straight,Senate,72
Massachusetts,MA,D,Elizabeth,Warren,Female,White,Christianity,Straight,Senate,69
Maryland,MD,D,Benjamin,Cardin,Male,White,Judaism,Straight,Senate,75
Maryland,MD,D,Chris,Van Hollen,Male,White,Christianity,Straight,Senate,59
Maine,ME,I,Angus,King,Male,White,Christianity,Straight,Senate,74
Maine,ME,R,Susan,Collins,Female,White,Christianity,Straight,Senate,66
Michigan,MI,D,Debbie,Stabenow,Female,White,Christianity,Straight,Senate,68
Michigan,MI,D,Gary,Peters,Male,White,Christianity,Straight,Senate,60
Minnesota,MN,D,Tina,Smith,Female,White,Unspecified,Straight,Senate,60
Minnesota,MN,D,Amy,Klobuchar,Female,White,Christianity,Straight,Senate,58
Missouri,MO,D,Claire,McCaskill,Female,White,Christianity,Straight,Senate,65
Missouri,MO,R,Roy,Blunt,Male,White,Christianity,Straight,Senate,68
Mississippi,MS,R,Roger,Wicker,Male,White,Christianity,Straight,Senate,67
Mississippi,MS,R,Thad,Cochran,Male,White,Christianity,Straight,Senate,81
Montana,MT,D,Jon,Tester,Male,White,Christianity,Straight,Senate,62
Montana,MT,R,Steve,Daines,Male,White,Christianity,Straight,Senate,56
North Carolina,NC,R,Richard,Burr,Male,White,Christianity,Straight,Senate,63
North Carolina,NC,R,Thom,Tillis,Male,White,Christianity,Straight,Senate,58
North Dakota,ND,D,Heidi,Heitkamp,Female,White,Christianity,Straight,Senate,63
North Dakota,ND,R,John,Hoeven,Male,White,Christianity,Straight,Senate,61
Nebraska,NE,R,Ben,Sasse,Male,White,Christianity,Straight,Senate,46
Nebraska,NE,R,Deb,Fischer,Female,White,Christianity,Straight,Senate,67
New Hampshire,NH,D,Jeanne,Shaheen,Female,White,Christianity,Straight,Senate,71
New Hampshire,NH,D,Margaret,Hassan,Female,White,Christianity,Straight,Senate,60
